#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    6.3035203e+04  6.4199564e+02
   2.400e+01    4.4161226e+04  4.9084975e+02
   2.000e+00    4.3622156e+04  4.8705288e+02
   2.000e+01    4.4225076e+04  4.9127079e+02
   4.000e+00    4.3474340e+04  4.8653312e+02
   1.800e+01    4.4123055e+04  4.9119955e+02
   6.000e+00    4.3594737e+04  4.8703644e+02
   1.600e+01    4.4199134e+04  4.9101354e+02
   8.000e+00    4.3529148e+04  4.8634503e+02
   1.400e+01    4.3959270e+04  4.8935571e+02
   1.000e+01    4.3930193e+04  4.8890016e+02
   1.200e+01    4.3892052e+04  4.8929533e+02
   2.000e+00    4.3013756e+04  4.8304392e+02
   8.000e+00    4.2905679e+04  4.8251316e+02
   1.600e+01    4.4552246e+04  4.9347003e+02
