#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    6.0867949e+04  1.2071159e+03
   2.400e+01    4.4980536e+04  9.0877325e+02
   2.000e+00    4.5425443e+04  9.0208175e+02
   2.000e+01    4.5351777e+04  9.0998774e+02
   4.000e+00    4.4668654e+04  8.9373850e+02
   1.800e+01    4.5658339e+04  9.1454307e+02
   6.000e+00    4.5417581e+04  9.0376378e+02
   1.600e+01    4.5329664e+04  9.0867293e+02
   8.000e+00    4.5390207e+04  9.0600206e+02
   1.400e+01    4.5045809e+04  9.0463516e+02
   1.000e+01    4.5780018e+04  9.1229348e+02
   1.200e+01    4.5160916e+04  9.0417119e+02
   2.000e+00    4.5401532e+04  9.0093501e+02
   8.000e+00    4.5143741e+04  9.0191291e+02
   1.600e+01    4.5412726e+04  9.1072190e+02
