#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    9.9130511e+04  1.3022586e+03
   2.400e+01    7.2305934e+04  1.1640054e+03
   2.000e+00    7.2664940e+04  1.1656551e+03
   2.000e+01    7.2544975e+04  1.1651094e+03
   4.000e+00    7.1746342e+04  1.1614344e+03
   1.800e+01    7.1799030e+04  1.1616750e+03
   6.000e+00    7.1743106e+04  1.1614174e+03
   1.600e+01    7.2393937e+04  1.1644125e+03
   8.000e+00    7.2782249e+04  1.1661994e+03
   1.400e+01    7.2183840e+04  1.1634424e+03
   1.000e+01    7.2132698e+04  1.1632051e+03
   1.200e+01    7.2261617e+04  1.1637989e+03
   2.000e+00    7.2216187e+04  1.1635889e+03
   8.000e+00    7.2397696e+04  1.1644293e+03
   1.600e+01    7.2028735e+04  1.1627318e+03
