#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    6.0423865e+04  2.0125078e+02
   2.400e+01    4.2530289e+04  1.7330822e+02
   2.000e+00    4.2496310e+04  1.7325941e+02
   2.000e+01    4.2290273e+04  1.7297861e+02
   4.000e+00    4.2570313e+04  1.7336465e+02
   1.800e+01    4.2423883e+04  1.7315984e+02
   6.000e+00    4.2703345e+04  1.7354313e+02
   1.600e+01    4.2974424e+04  1.7392386e+02
   8.000e+00    4.2702483e+04  1.7354931e+02
   1.400e+01    4.2276702e+04  1.7295757e+02
   1.000e+01    4.2455722e+04  1.7320745e+02
   1.200e+01    4.2469759e+04  1.7323091e+02
   2.000e+00    4.2473031e+04  1.7322506e+02
   8.000e+00    4.2218667e+04  1.7287271e+02
   1.600e+01    4.2739068e+04  1.7360037e+02
