#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    3.1185251e+04  1.1426269e+02
   3.000e+01    2.2168466e+04  1.0004903e+02
   1.000e+00    1.2555792e+04  8.8860878e+01
   2.700e+01    2.1643461e+04  9.9318497e+01
   2.000e+00    1.4681151e+04  9.0899944e+01
   2.400e+01    2.2026316e+04  9.9850030e+01
   3.000e+00    1.6171986e+04  9.2488102e+01
   2.100e+01    2.1837606e+04  9.9587226e+01
   4.000e+00    1.7651662e+04  9.4185718e+01
   1.800e+01    2.1495302e+04  9.9114550e+01
   5.000e+00    1.8862870e+04  9.5660804e+01
   1.500e+01    2.1336328e+04  9.8896811e+01
   6.000e+00    1.9399780e+04  9.6338310e+01
   1.200e+01    2.0820928e+04  9.8198779e+01
   7.000e+00    1.9523844e+04  9.6496875e+01
   1.000e+01    2.0752115e+04  9.8106503e+01
   8.000e+00    2.0249696e+04  9.7439457e+01
   4.000e+00    1.7404366e+04  9.3893858e+01
   1.000e+00    1.2317092e+04  8.8649095e+01
   2.700e+01    2.2039918e+04  9.9869034e+01
