#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    8.0935165e+04  3.4635127e+02
   3.600e+01    2.7911186e+04  1.7118500e+02
   1.000e+00    2.4662938e+04  1.6176909e+02
   3.300e+01    2.8009685e+04  1.7135893e+02
   2.000e+00    2.6132717e+04  1.6513206e+02
   3.000e+01    2.7953821e+04  1.7113074e+02
   3.000e+00    2.6431426e+04  1.6599824e+02
   2.700e+01    2.7713825e+04  1.7051567e+02
   4.000e+00    2.6178296e+04  1.6536509e+02
   2.400e+01    2.7287310e+04  1.6935516e+02
   6.000e+00    2.5186685e+04  1.6352614e+02
   2.100e+01    2.6901040e+04  1.6827497e+02
   8.000e+00    2.5562460e+04  1.6415333e+02
   1.800e+01    2.6612588e+04  1.6748596e+02
   1.000e+01    2.6136630e+04  1.6552913e+02
   1.600e+01    2.6840164e+04  1.6727470e+02
   1.200e+01    2.6380914e+04  1.6607998e+02
   1.400e+01    2.6315321e+04  1.6656215e+02
   8.000e+00    2.5554227e+04  1.6385475e+02
   2.400e+01    2.7483045e+04  1.6952462e+02
