#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.4613020e+05  9.5081769e+02
   2.400e+01    1.2385292e+05  8.2230440e+02
   2.000e+00    1.2305316e+05  8.1839452e+02
   2.200e+01    1.2342575e+05  8.2024661e+02
   4.000e+00    1.2382074e+05  8.2173827e+02
   2.000e+01    1.2374992e+05  8.2154547e+02
   6.000e+00    1.2309488e+05  8.1854715e+02
   1.800e+01    1.2391104e+05  8.2225172e+02
   8.000e+00    1.2300164e+05  8.1808356e+02
   1.600e+01    1.2328176e+05  8.1938535e+02
   1.000e+01    1.2291757e+05  8.1756143e+02
   1.400e+01    1.2349737e+05  8.2024571e+02
   1.200e+01    1.2348994e+05  8.2003458e+02
   4.000e+00    1.2401532e+05  8.2247809e+02
   1.600e+01    1.2374793e+05  8.2152899e+02
