#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.5266843e+05  1.2423606e+03
   2.400e+01    1.0336569e+05  9.9459316e+02
   2.000e+00    9.5774055e+04  9.6311344e+02
   2.200e+01    1.0357939e+05  9.9557688e+02
   4.000e+00    9.6927754e+04  9.6787100e+02
   2.000e+01    1.0289058e+05  9.9252439e+02
   6.000e+00    9.8860399e+04  9.7626773e+02
   1.800e+01    1.0292688e+05  9.9283179e+02
   8.000e+00    9.8045269e+04  9.7259365e+02
   1.600e+01    1.0172703e+05  9.8770152e+02
   1.000e+01    9.9550346e+04  9.7895889e+02
   1.400e+01    9.9850198e+04  9.8020897e+02
   1.200e+01    9.8334133e+04  9.7359663e+02
   4.000e+00    9.5692087e+04  9.6292727e+02
   1.600e+01    1.0098366e+05  9.8457138e+02
