#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.4777331e+05  7.2093715e+02
   2.400e+01    1.0959486e+05  6.2682550e+02
   2.000e+00    1.0976116e+05  6.2719017e+02
   2.200e+01    1.0941337e+05  6.2639159e+02
   4.000e+00    1.0970487e+05  6.2705221e+02
   2.000e+01    1.0910688e+05  6.2575351e+02
   6.000e+00    1.0941571e+05  6.2639248e+02
   1.800e+01    1.0977788e+05  6.2723889e+02
   8.000e+00    1.0969526e+05  6.2703819e+02
   1.600e+01    1.0942747e+05  6.2645872e+02
   1.000e+01    1.0928092e+05  6.2612469e+02
   1.400e+01    1.0916630e+05  6.2584799e+02
   1.200e+01    1.0858964e+05  6.2457934e+02
   4.000e+00    1.0935606e+05  6.2631798e+02
   1.600e+01    1.0864820e+05  6.2471753e+02
